Symbol,CIK,Year,Filing Date,Cosine Distance,Return Date,Return,Return +1,Cosine Similarity,Bins
ABBV,1551152,2023,2024-02-20,0.00047553070826877875,2024-02-29,7.0864,3.5543,0.9995244692917312,5
ADBE,796343,2004,2005-02-02,0.004800123100251796,2005-02-28,8.5237,5.5369,0.9951998768997482,4
ADBE,796343,2005,2006-02-08,0.0025137336175169445,2006-02-28,-2.9701,8.7976,0.9974862663824831,5
ADBE,796343,2006,2007-02-05,0.016447748748704027,2007-02-28,0.9776,-9.3385,0.983552251251296,2
ADBE,796343,2007,2008-01-24,0.008513549740850945,2008-01-31,-18.2542,0.9776,0.991486450259149,3
ADBE,796343,2008,2009-01-23,0.009152485490908635,2009-01-30,-9.3002,-3.6645,0.9908475145090914,3
ADBE,796343,2009,2010-01-22,0.010593348810749137,2010-01-29,-12.1805,-13.5163,0.9894066511892509,3
ADBE,796343,2010,2011-01-27,0.004106622656270487,2011-01-31,7.3749,7.2756,0.9958933773437295,3
ADBE,796343,2011,2012-01-26,0.005926404012159048,2012-01-31,9.48,4.3873,0.994073595987841,3
ADBE,796343,2012,2013-01-22,0.017794470717503952,2013-01-31,0.3981,6.2682,0.982205529282496,2
ADBE,796343,2013,2014-01-21,0.006176815860952312,2014-01-31,-1.1507,3.9122,0.9938231841390477,3
ADBE,796343,2014,2015-01-20,0.015169068192986912,2015-01-30,-3.5351,15.9486,0.9848309318070131,2
ADBE,796343,2015,2016-01-19,0.0158981063659821,2016-01-29,-5.1203,12.7905,0.9841018936340179,2
ADBE,796343,2016,2017-01-20,0.0004460498469383012,2017-01-31,10.1311,-4.4654,0.9995539501530617,5
ADBE,796343,2017,2018-01-22,0.001011533716747115,2018-01-31,13.9922,4.3747,0.9989884662832529,5
ADBE,796343,2018,2019-01-25,0.0010990372738999277,2019-01-31,9.5385,4.6906,0.9989009627261001,5
ADBE,796343,2019,2020-01-21,0.017000060291832764,2020-01-31,6.4674,5.9237,0.9829999397081672,2
ADBE,796343,2020,2021-01-15,0.005752888298576675,2021-01-29,-8.268,-1.7144,0.9942471117014233,3
ADBE,796343,2021,2022-01-21,0.04411420947882183,2022-01-31,-5.7772,0.1962,0.9558857905211782,1
ADBE,796343,2022,2023-01-17,0.000764381696362948,2023-01-31,10.0467,-12.4687,0.999235618303637,5
ADBE,796343,2023,2024-01-17,0.003797322118469393,2024-01-31,3.5501,-12.5263,0.9962026778815306,3
AMD,2488,2004,2005-03-01,0.011688851795988331,2005-03-31,-7.6218,-12.3845,0.9883111482040117,3
AMD,2488,2005,2006-02-27,0.04439492644726872,2006-02-28,-7.488,-7.6218,0.9556050735527313,1
AMD,2488,2006,2007-03-01,0.008586304645401333,2007-03-30,-13.3378,-2.4427,0.9914136953545987,3
AMD,2488,2007,2008-02-26,0.006556708468080541,2008-02-29,-5.0066,-13.3378,0.9934432915319195,3
AMD,2488,2008,2009-02-24,0.002676898768380509,2009-02-27,-0.4566,-18.3079,0.9973231012316195,5
AMD,2488,2009,2010-02-19,0.004072273480437483,2010-02-26,6.0322,39.9083,0.9959277265195625,4
AMD,2488,2010,2011-02-18,0.007154695533800881,2011-02-28,17.6245,17.1934,0.9928453044661991,3
AMD,2488,2011,2012-02-24,0.013338561530117365,2012-02-29,9.538,-6.6232,0.9866614384698826,2
AMD,2488,2012,2013-02-21,0.003176774474407118,2013-02-28,-4.2308,9.1157,0.9968232255255929,4
AMD,2488,2013,2014-02-18,0.002768656585882212,2014-02-28,8.1633,2.4096,0.9972313434141178,4
AMD,2488,2014,2015-02-19,0.0025792164967439746,2015-02-27,21.0117,8.0863,0.997420783503256,4
AMD,2488,2015,2016-02-18,0.028410661626435685,2016-02-29,-2.7273,-13.8264,0.9715893383735643,1
AMD,2488,2016,2017-02-21,0.000756189991102385,2017-02-28,39.4407,33.1776,0.9992438100088976,5
AMD,2488,2017,2018-02-27,0.0009778440320972193,2018-02-28,-11.8632,0.6224,0.9990221559679028,5
AMD,2488,2018,2019-02-08,0.006096001872701873,2019-02-28,-3.6051,-17.0107,0.9939039981272981,3
AMD,2488,2019,2020-02-04,0.022510158635461797,2020-02-28,-3.234,8.4573,0.9774898413645382,1
AMD,2488,2020,2021-01-29,0.019041456849788196,2021-01-29,-6.6187,-3.234,0.9809585431502118,2
AMD,2488,2021,2022-02-03,0.03209272693323051,2022-02-28,7.9562,-7.1116,0.9679072730667695,1
AMD,2488,2022,2023-02-27,0.002285636883457398,2023-02-28,4.5642,-11.3507,0.9977143631165426,4
AMD,2488,2023,2024-01-31,0.018900217475419145,2024-01-31,13.7575,4.5642,0.9810997825245809,2
AES,874761,2004,2005-03-30,0.0034559996465757248,2005-03-31,-2.1505,1.6413,0.9965440003534243,5
AES,874761,2005,2006-04-04,0.003389932980175203,2006-04-28,-0.5276,-7.4005,0.9966100670198248,4
AES,874761,2006,2007-05-23,0.008376884025391274,2007-05-31,7.9127,0.2717,0.9916231159746087,3
AES,874761,2007,2008-03-17,0.01079934271906513,2008-03-31,-7.2859,2.184,0.9892006572809349,3
AES,874761,2008,2009-02-26,0.012609013356449372,2009-02-27,-20.354,-7.2859,0.9873909866435506,3
AES,874761,2009,2010-02-26,0.03238920646357113,2010-02-26,-7.4426,-7.7778,0.9676107935364289,1
AES,874761,2010,2011-02-28,0.0015417580297112377,2011-02-28,-0.2419,-5.9025,0.9984582419702888,5
AES,874761,2011,2012-02-27,0.0010476030494213084,2012-02-29,6.2696,5.093,0.9989523969505787,5
AES,874761,2012,2013-02-27,0.001745951206951868,2013-02-28,7.1956,-3.6136,0.9982540487930481,4
AES,874761,2013,2014-02-26,0.004700889248024587,2014-02-28,-2.9161,8.1756,0.9952991107519754,3
AES,874761,2014,2015-02-26,0.0008801224712655653,2015-02-27,6.1375,4.6154,0.9991198775287344,5
AES,874761,2015,2016-02-24,0.0022510097294343723,2016-02-29,3.1579,-0.9252,0.9977489902705656,4
AES,874761,2016,2017-02-27,0.011948750441346245,2017-02-28,0.6993,20.4082,0.9880512495586538,2
AES,874761,2017,2018-02-27,0.012928267066336208,2018-02-28,-5.9689,-2.9514,0.9870717329336638,2
AES,874761,2018,2019-02-27,0.002648423476542261,2019-02-28,5.1251,4.5998,0.9973515765234577,4
AES,874761,2019,2020-02-28,0.001097894094991947,2020-02-28,-15.7603,4.9333,0.998902105905008,5
AES,874761,2020,2021-02-25,0.0010288279661990751,2021-02-26,8.8971,-18.7089,0.9989711720338009,5
AES,874761,2021,2022-02-28,0.0015725146235164855,2022-02-28,-4.2831,0.9413,0.9984274853764835,4
AES,874761,2022,2023-03-01,0.0012198617958347757,2023-03-31,-2.4311,-20.0233,0.9987801382041652,5
AES,874761,2023,2024-02-26,0.018527334315198374,2024-02-29,-8.8729,-2.4311,0.9814726656848016,2
AFL,4977,2004,2005-03-10,0.01884951561366721,2005-03-31,-2.7916,5.2068,0.9811504843863328,2
AFL,4977,2005,2006-02-28,0.007189574137207444,2006-02-28,-1.2141,-2.7916,0.9928104258627926,3
AFL,4977,2006,2007-02-28,0.0014939227615008432,2007-02-28,-0.3886,-2.4216,0.9985060772384992,5
AFL,4977,2007,2008-02-29,0.0010067031973896023,2008-02-29,2.5536,-0.381,0.9989932968026104,5
AFL,4977,2008,2009-02-20,0.05221672325762272,2009-02-27,-26.5834,4.0699,0.9477832767423773,1
AFL,4977,2009,2010-02-26,0.04565788667465509,2010-02-26,2.6843,15.5131,0.9543421133253449,1
AFL,4977,2010,2011-02-25,0.0011673150073207017,2011-02-28,2.744,9.7877,0.9988326849926793,5
AFL,4977,2011,2012-02-27,0.0022095119595055834,2012-02-29,-1.3477,-10.3296,0.9977904880404944,4
AFL,4977,2012,2013-02-27,0.0026859015633885486,2013-02-28,-5.2017,-2.6667,0.9973140984366115,4
AFL,4977,2013,2014-02-27,0.0009877810669135512,2014-02-28,2.6601,4.1441,0.9990122189330864,5
AFL,4977,2014,2015-02-26,0.005619482515688667,2015-02-27,9.7407,-1.623,0.9943805174843113,3
AFL,4977,2015,2016-02-25,0.005473048617602672,2016-02-29,3.3989,2.8273,0.9945269513823973,3
AFL,4977,2016,2017-02-24,0.0007819238221387081,2017-02-28,3.9863,6.082,0.9992180761778613,5
AFL,4977,2017,2018-02-23,0.03437595984273489,2018-02-28,1.3605,0.0968,0.9656240401572651,1
AFL,4977,2018,2019-02-25,0.004061979393344961,2019-02-28,3.5849,-1.5302,0.995938020606655,3
AFL,4977,2019,2020-02-21,0.009886726376529542,2020-02-28,-16.3661,1.7501,0.9901132736234705,3
AFL,4977,2020,2021-02-23,0.012391737914964951,2021-02-26,6.7286,-20.0933,0.987608262085035,2
AFL,4977,2021,2022-02-23,0.0010221646068754309,2022-02-28,-2.1172,6.8699,0.9989778353931246,5
AFL,4977,2022,2023-02-24,0.0013750936549046244,2023-02-28,-6.7075,5.4019,0.9986249063450954,4
AFL,4977,2023,2024-02-22,0.001986605129243313,2024-02-29,-3.6756,-5.3265,0.9980133948707567,4
APD,2969,2004,2004-12-13,0.011336807666086579,2004-12-31,1.7642,1.6215,0.9886631923339134,3
APD,2969,2005,2005-11-22,0.0037467762860109444,2005-11-30,3.3718,0.5746,0.9962532237139891,4
APD,2969,2006,2006-12-13,0.024874881655652326,2006-12-29,2.1406,6.2322,0.9751251183443477,2
APD,2969,2007,2007-11-28,0.002948582949290124,2007-11-30,1.2162,-0.0303,0.9970514170507099,4
APD,2969,2008,2008-11-26,0.011214227767974094,2008-11-28,-17.8393,6.1767,0.9887857722320259,3
APD,2969,2009,2009-11-25,0.0024786638771018277,2009-11-30,7.5198,-1.7123,0.9975213361228982,5
APD,2969,2010,2010-11-23,0.02934660423382085,2010-11-30,1.4711,6.0543,0.9706533957661792,1
APD,2969,2011,2011-11-22,0.029983971028553214,2011-11-30,-2.7746,2.4119,0.9700160289714468,1
APD,2969,2012,2012-11-20,0.01398953314450635,2012-11-30,6.978,2.0738,0.9860104668554937,2
APD,2969,2013,2013-11-26,0.0008984878208107006,2013-11-29,-0.1651,3.363,0.9991015121791893,5
APD,2969,2014,2014-11-24,0.010385301624063148,2014-11-28,6.8097,0.8135,0.9896146983759369,2
APD,2969,2015,2015-11-24,0.008288926269502062,2015-11-30,-1.5038,-4.3612,0.9917110737304979,2
APD,2969,2016,2016-11-21,0.0025140145445119444,2016-11-30,8.2746,0.1523,0.9974859854554881,4
APD,2969,2017,2017-11-16,0.002339143790045295,2017-11-30,2.2643,1.2206,0.9976608562099547,4
APD,2969,2018,2018-11-20,0.00432498498149525,2018-11-30,4.2242,0.1741,0.9956750150185047,3
APD,2969,2019,2019-11-26,0.0070935629843695835,2019-11-29,10.8178,-0.0762,0.9929064370156304,3
APD,2969,2020,2020-11-19,0.0031101861949439646,2020-11-30,1.4118,-1.9919,0.996889813805056,4
APD,2969,2021,2021-11-18,0.07119099710929011,2021-11-30,-4.1259,6.3735,0.9288090028907099,1
APD,2969,2022,2022-11-22,0.060947261506197115,2022-11-30,23.8658,-0.0903,0.9390527384938029,1
APD,2969,2023,2023-11-16,0.004783823508430984,2023-11-30,-4.2098,1.8481,0.995216176491569,3
APD,2969,2024,2024-11-21,0.06309848717669908,2024-11-29,7.6643,-13.2474,0.9369015128233009,1
AKAM,1086222,2004,2005-03-16,0.004189027150091507,2005-03-31,15.6222,-9.8935,0.9958109728499085,5
AKAM,1086222,2005,2006-03-16,0.002677562580666093,2006-03-31,24.1132,-7.227,0.9973224374193339,5
AKAM,1086222,2006,2007-03-01,0.002505566288401151,2007-03-30,-3.1995,2.4324,0.9974944337115988,5
AKAM,1086222,2007,2008-02-29,0.06524649279606021,2008-02-29,16.4238,-3.1995,0.9347535072039398,1
AKAM,1086222,2008,2009-03-02,0.02022082026329608,2009-03-31,7.2416,27.0241,0.9797791797367039,2
AKAM,1086222,2009,2010-03-01,0.04182013177732291,2010-03-31,19.4677,13.5052,0.9581798682226771,1
AKAM,1086222,2010,2011-03-01,0.0030611700211268245,2011-03-31,1.2523,23.5837,0.9969388299788732,4
AKAM,1086222,2011,2012-02-29,0.0010097856193758137,2012-02-29,11.6972,1.2523,0.9989902143806242,5
AKAM,1086222,2012,2013-03-01,0.0012518304916441236,2013-03-28,-4.4372,-11.1989,0.9987481695083559,5
